instance,seed,cutoff,size,ref,rel_err,valid,wall_time
large1,1,60,3303,3303,0.0000,1,60.0090
large1,2,60,3303,3303,0.0000,1,60.0229
large1,3,60,3303,3303,0.0000,1,60.0094
large1,4,60,3303,3303,0.0000,1,60.0217
large1,5,60,3303,3303,0.0000,1,60.0130
large1,6,60,3303,3303,0.0000,1,60.0311
large1,7,60,3303,3303,0.0000,1,60.0458
large1,8,60,3303,3303,0.0000,1,60.0334
large1,9,60,3303,3303,0.0000,1,60.0099
large1,10,60,3303,3303,0.0000,1,60.0385
large1,11,60,3303,3303,0.0000,1,60.0196
large1,12,60,3303,3303,0.0000,1,60.0153
large1,13,60,3303,3303,0.0000,1,60.0416
large1,14,60,3303,3303,0.0000,1,60.0566
large1,15,60,3303,3303,0.0000,1,60.0174
large1,16,60,3303,3303,0.0000,1,60.0277
large1,17,60,3303,3303,0.0000,1,60.0177
large1,18,60,3303,3303,0.0000,1,60.0246
large1,19,60,3303,3303,0.0000,1,60.0421
large1,20,60,3303,3303,0.0000,1,60.0344
large1,21,60,3303,3303,0.0000,1,60.0185
large1,22,60,3303,3303,0.0000,1,60.0339
large1,23,60,3303,3303,0.0000,1,60.0392
large1,24,60,3303,3303,0.0000,1,60.0169
large1,25,60,3303,3303,0.0000,1,60.0134
large1,26,60,3303,3303,0.0000,1,60.0269
large1,27,60,3303,3303,0.0000,1,60.0292
large1,28,60,3303,3303,0.0000,1,60.0263
large1,29,60,3303,3303,0.0000,1,60.0369
large1,30,60,3303,3303,0.0000,1,60.0544
large1,31,60,3303,3303,0.0000,1,60.0611
large1,32,60,3303,3303,0.0000,1,60.0061
large1,33,60,3303,3303,0.0000,1,60.0700
large1,34,60,3303,3303,0.0000,1,60.0299
large1,35,60,3303,3303,0.0000,1,60.0559
large1,36,60,3303,3303,0.0000,1,60.0445
large1,37,60,3303,3303,0.0000,1,60.0301
large1,38,60,3303,3303,0.0000,1,60.0056
large1,39,60,3303,3303,0.0000,1,60.0510
large1,40,60,3303,3303,0.0000,1,60.0150
large1,41,60,3303,3303,0.0000,1,60.0588
large1,42,60,3303,3303,0.0000,1,60.0299
large1,43,60,3303,3303,0.0000,1,60.0126
large1,44,60,3303,3303,0.0000,1,60.0268
large1,45,60,3303,3303,0.0000,1,60.0235
large1,46,60,3303,3303,0.0000,1,60.0137
large1,47,60,3303,3303,0.0000,1,60.0176
large1,48,60,3303,3303,0.0000,1,60.0200
large1,49,60,3303,3303,0.0000,1,60.0213
large1,50,60,3303,3303,0.0000,1,60.0163
large10,1,60,933,933,0.0000,1,60.0956
large10,2,60,933,933,0.0000,1,60.2339
large10,3,60,933,933,0.0000,1,60.2514
large10,4,60,933,933,0.0000,1,60.3648
large10,5,60,933,933,0.0000,1,60.1260
large10,6,60,933,933,0.0000,1,60.2198
large10,7,60,933,933,0.0000,1,60.2183
large10,8,60,933,933,0.0000,1,60.1284
large10,9,60,933,933,0.0000,1,60.1749
large10,10,60,933,933,0.0000,1,60.2915
large10,11,60,933,933,0.0000,1,62.7109
large10,12,60,933,933,0.0000,1,62.5154
large10,13,60,933,933,0.0000,1,60.3964
large10,14,60,933,933,0.0000,1,60.5067
large10,15,60,933,933,0.0000,1,62.4285
large10,16,60,933,933,0.0000,1,60.0965
large10,17,60,933,933,0.0000,1,61.8008
large10,18,60,933,933,0.0000,1,61.5739
large10,19,60,933,933,0.0000,1,63.5320
large10,20,60,933,933,0.0000,1,60.1613
large10,21,60,933,933,0.0000,1,60.1617
large10,22,60,933,933,0.0000,1,60.0415
large10,23,60,933,933,0.0000,1,60.0911
large10,24,60,933,933,0.0000,1,60.0922
large10,25,60,933,933,0.0000,1,60.1757
large10,26,60,933,933,0.0000,1,60.0889
large10,27,60,933,933,0.0000,1,60.1597
large10,28,60,933,933,0.0000,1,60.0603
large10,29,60,933,933,0.0000,1,60.0747
large10,30,60,933,933,0.0000,1,60.0411
large10,31,60,933,933,0.0000,1,60.1650
large10,32,60,933,933,0.0000,1,60.2128
large10,33,60,933,933,0.0000,1,60.2103
large10,34,60,933,933,0.0000,1,60.2924
large10,35,60,933,933,0.0000,1,60.1959
large10,36,60,933,933,0.0000,1,61.8589
large10,37,60,933,933,0.0000,1,60.2535
large10,38,60,933,933,0.0000,1,61.3725
large10,39,60,933,933,0.0000,1,60.1418
large10,40,60,933,933,0.0000,1,62.7560
large10,41,60,933,933,0.0000,1,63.2674
large10,42,60,933,933,0.0000,1,62.5122
large10,43,60,933,933,0.0000,1,63.1286
large10,44,60,933,933,0.0000,1,61.8294
large10,45,60,933,933,0.0000,1,62.1304
large10,46,60,933,933,0.0000,1,64.4563
large10,47,60,933,933,0.0000,1,63.2901
large10,48,60,933,933,0.0000,1,64.5871
large10,49,60,933,933,0.0000,1,62.9406
large10,50,60,933,933,0.0000,1,61.6932
